Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Score Penalties,Attendance,Round_ID,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials
2006,22 Jun 2006 - 21:00,Group F,"FIFA World Cup Stadium, Dortmund",Dortmund,Japan,1,4,Brazil,0-0,65000,218,1,1,JPN,BRA
2006,22 Jun 2006 - 21:00,Group F,Gottlieb-Daimler-Stadion,Stuttgart,Croatia,2,2,Australia,0-0,52000,218,1,1,CRO,AUS
2006,23 Jun 2006 - 16:00,Group H,Olympiastadion,Berlin,Ukraine,1,0,Tunisia,0-0,72000,218,0,0,UKR,TUN
2006,23 Jun 2006 - 16:00,Group H,Fritz-Walter-Stadion,Kaiserslautern,Saudi Arabia,0,1,Spain,0-0,46000,218,0,1,KSA,ESP
2006,23 Jun 2006 - 21:00,Group G,"FIFA World Cup Stadium, Cologne",Cologne,Togo,0,2,France,0-0,45000,218,0,0,TOG,FRA
2006,23 Jun 2006 - 21:00,Group G,"FIFA World Cup Stadium, Hanover",Hanover,Switzerland,2,0,Korea Republic,0-0,43000,218,1,0,SUI,KOR
2006,24 Jun 2006 - 17:00,Round of 16,"FIFA World Cup Stadium, Munich",Munich,Germany,2,0,Sweden,0-0,66000,218,2,0,GER,SWE
2006,24 Jun 2006 - 21:00,Round of 16,Zentralstadion,Leipzig,Argentina,2,1,Mexico,0-0,43000,218,0,0,ARG,MEX
2006,25 Jun 2006 - 17:00,Round of 16,Gottlieb-Daimler-Stadion,Stuttgart,England,1,0,Ecuador,0-0,52000,218,0,0,ENG,ECU
2006,25 Jun 2006 - 21:00,Round of 16,Franken-Stadion,Nuremberg,Portugal,1,0,Netherlands,0-0,41000,218,1,0,POR,NED
2006,26 Jun 2006 - 17:00,Round of 16,Fritz-Walter-Stadion,Kaiserslautern,Italy,1,0,Australia,0-0,46000,218,0,0,ITA,AUS
2006,26 Jun 2006 - 21:00,Round of 16,"FIFA World Cup Stadium, Cologne",Cologne,Switzerland,0,0,Ukraine,0–3,45000,218,0,0,SUI,UKR
2006,27 Jun 2006 - 17:00,Round of 16,"FIFA World Cup Stadium, Dortmund",Dortmund,Brazil,3,0,Ghana,0-0,65000,218,2,0,BRA,GHA
2006,27 Jun 2006 - 21:00,Round of 16,"FIFA World Cup Stadium, Hanover",Hanover,Spain,1,3,France,0-0,43000,218,1,1,ESP,FRA
2006,30 Jun 2006 - 17:00,Quarter-finals,Olympiastadion,Berlin,Germany,1,1,Argentina,4–2,72000,218,0,0,GER,ARG
2006,30 Jun 2006 - 21:00,Quarter-finals,"FIFA World Cup Stadium, Hamburg",Hamburg,Italy,3,0,Ukraine,0-0,50000,218,1,0,ITA,UKR
2006,01 Jul 2006 - 17:00,Quarter-finals,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,England,0,0,Portugal,1–3,52000,218,0,0,ENG,POR
2006,01 Jul 2006 - 21:00,Quarter-finals,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,Brazil,0,1,France,0-0,48000,218,0,0,BRA,FRA
2006,04 Jul 2006 - 21:00,Semi-finals,"FIFA World Cup Stadium, Dortmund",Dortmund,Germany,0,2,Italy,0-0,65000,218,0,0,GER,ITA
2006,05 Jul 2006 - 21:00,Semi-finals,"FIFA World Cup Stadium, Munich",Munich,Portugal,0,1,France,0-0,66000,218,0,1,POR,FRA
2006,08 Jul 2006 - 21:00,Third place,Gottlieb-Daimler-Stadion,Stuttgart,Germany,3,1,Portugal,0-0,52000,218,0,0,GER,POR
2006,09 Jul 2006 - 20:00,Final,Olympiastadion,Berlin,Italy,1,1,France,5–3,69000,218,0,0,ITA,FRA
2010,11 Jun 2010 - 16:00,Group A,Soccer City Stadium,Johannesburg,South Africa,1,1,Mexico,0-0,84490,219,0,0,RSA,MEX
2010,11 Jun 2010 - 20:30,Group A,Cape Town Stadium,Cape Town,Uruguay,0,0,France,0-0,64100,219,0,0,URU,FRA
2010,12 Jun 2010 - 13:30,Group B,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,Korea Republic,2,0,Greece,0-0,31513,219,1,0,KOR,GRE
2010,12 Jun 2010 - 16:00,Group B,Ellis Park Stadium,Johannesburg,Argentina,1,0,Nigeria,0-0,55686,219,1,0,ARG,NGA
2010,12 Jun 2010 - 20:30,Group C,Royal Bafokeng Sports Palace,Phokeng,England,1,1,USA,0-0,38646,219,1,1,ENG,USA
2010,13 Jun 2010 - 13:30,Group C,Peter Mokaba Stadium,Polokwane,Algeria,0,1,Slovenia,0-0,30325,219,0,0,ALG,SVN
2010,13 Jun 2010 - 16:00,Group D,Loftus Versfeld Stadium,Tshwane/Pretoria,Serbia,0,1,Ghana,0-0,38833,219,0,0,SRB,GHA
2010,13 Jun 2010 - 20:30,Group D,Durban Stadium,Durban,Germany,4,0,Australia,0-0,62660,219,2,0,GER,AUS
2010,14 Jun 2010 - 13:30,Group E,Soccer City Stadium,Johannesburg,Netherlands,2,0,Denmark,0-0,83465,219,0,0,NED,DEN
